id,referencni_cislo,ico,nazev,adresa,datum_zverejneni,datum_uzavreni,datum_uvolneni_zakazu,stav_uzavreni,druh,zjistene_skutecnosti,stazeno
51048,P21-000095-SZPI-CZ,00031747,"COOP Hořovice, družstvo","Kuštova 1769, 269 01 Rakovník",2021-12-22,2021-12-21,2021-12-22,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců,2022-01-03
51047,P21-000094-SZPI-CZ,03749916,Edu & Travel Consulting  s.r.o.,"Husitská 404/43, 130 00 Praha",2021-12-12,2021-12-10,2021-12-16,Znovu otevřeno,"Pivnice, bar nebo herna",Špatné hygienické podmínky na toaletách|Výrazně zanedbaný úklid|Výrazné znečištění prostor|Nečistoty na podlaze|Nevhodně skladované potraviny,2022-01-03
51046,P21-000093-SZPI-CZ,25110161,Kaufland Česká republika v.o.s.,"Riegrova 1148, 506 01 Jičín",2021-12-09,2021-12-09,2021-12-10,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Nečistoty na podlaze|Nečistoty na regálech či zařízeních,2022-01-03
51045,P21-000092-SZPI-CZ,05625572,Pekařství Sýkora s.r.o.,"Náves 2, 330 01 Kyšice",2021-12-07,2021-12-06,2021-12-08,Znovu otevřeno,Výroba,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců,2022-01-03
51044,P21-000091-SZPI-CZ,65278950,BENIX s.r.o.,"Jungmannova 1267/7, 664 34 Kuřim",2021-12-01,2021-11-30,2021-12-06,Znovu otevřeno,Výroba,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců,2022-01-03
51043,P21-000090-SZPI-CZ,28514980,Středovy pekárny s.r.o.,"Čáslavská 450/449, 284 01 Kutná Hora",2021-11-30,2021-11-30,2021-12-08,Znovu otevřeno,Výroba,Výskyt trusu hlodavců|Výskyt hmyzích škůdců,2022-01-03
51042,P21-000089-SZPI-CZ,19014325,"H R U Š K A , spol. s r.o.","Libřice 6, 503 44 Libřice",2021-11-29,2021-11-26,2021-11-29,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Stopy po působení a výskytu hlodavců|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Poškození stropu,2022-01-03
51041,P21-000088-SZPI-CZ,09522743,AMIR KASEM,"U skládky 1469/5, 190 00 Praha",2021-11-16,2021-11-16,2021-11-29,Znovu otevřeno,Rychlé občerstvení,Výskyt hmyzích škůdců,2022-01-03
51040,P21-000087-SZPI-CZ,03976271,CAO MINH NGUYEN,"Libušská 1049/198, 142 00 Praha 4",2021-11-10,2021-11-09,2021-11-15,Znovu otevřeno,Restaurace,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na provozovně|Výrazně zanedbaný úklid|Kouření v prostorách provozovny,2022-01-03
51039,P21-000086-SZPI-CZ,25110161,Kaufland Česká republika v.o.s.,"Riegrova 1148, 506 01 Jičín",2021-11-09,2021-11-09,2021-11-10,Znovu otevřeno,Maloobchod,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Poškození stěn,2022-01-03
51038,P21-000085-SZPI-CZ,05631939,GOLDEN HORSE ASIAN FOOD s.r.o.,"Libušská 319/126, 142 00 Praha 4 (budova XA3)",2021-11-04,2021-11-03,2021-11-09,Znovu otevřeno,Velkoobchod,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců,2022-01-03
51037,P21-000084-SZPI-CZ,24659169,KIKOMAL FORD s.r.o.,"V lužích 735/6, 142 00 Praha",2021-11-03,2021-11-02,2021-11-12,Znovu otevřeno,Velkoobchod,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid,2022-01-03
