id,druh,nazev,adresa,datum_zverejneni,zjistene_skutecnosti
51048,Maloobchod,"COOP Hořovice, družstvo","Kuštova 1769, 269 01 Rakovník",22. 12. 2021,Výskyt trusu hlodavců
51047,"Pivnice, bar nebo herna",Edu & Travel Consulting  s.r.o.,"Husitská 404/43, 130 00 Praha",12. 12. 2021,Špatné hygienické podmínky na toaletách|Výrazně zanedbaný úklid|Výrazné znečištění prostor|Nečistoty na podlaze|Nevhodně skladované potraviny
51046,Maloobchod,Kaufland Česká republika v.o.s.,"Riegrova 1148, 506 01 Jičín",9. 12. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Nečistoty na podlaze|Nečistoty na regálech či zařízeních
51045,Výroba,Pekařství Sýkora s.r.o.,"Náves 2, 330 01 Kyšice",7. 12. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců
51044,Výroba,BENIX s.r.o.,"Jungmannova 1267/7, 664 34 Kuřim",1. 12. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců
51043,Výroba,Středovy pekárny s.r.o.,"Čáslavská 450/449, 284 01 Kutná Hora",30. 11. 2021,Výskyt trusu hlodavců|Výskyt hmyzích škůdců
51042,Maloobchod,"H R U Š K A , spol. s r.o.","Libřice 6, 503 44 Libřice",29. 11. 2021,Výskyt trusu hlodavců|Stopy po působení a výskytu hlodavců|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Poškození stropu
51041,Rychlé občerstvení,AMIR KASEM,"U skládky 1469/5, 190 00 Praha",16. 11. 2021,Výskyt hmyzích škůdců
51040,Restaurace,CAO MINH NGUYEN,"Libušská 1049/198, 142 00 Praha 4",10. 11. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výskyt plísní na provozovně|Výrazně zanedbaný úklid|Kouření v prostorách provozovny
51039,Maloobchod,Kaufland Česká republika v.o.s.,"Riegrova 1148, 506 01 Jičín",9. 11. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Poškození stěn
51038,Velkoobchod,GOLDEN HORSE ASIAN FOOD s.r.o.,"Libušská 319/126, 142 00 Praha 4 (budova XA3)",4. 11. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců
51037,Velkoobchod,KIKOMAL FORD s.r.o.,"V lužích 735/6, 142 00 Praha",3. 11. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid
51036,Restaurace,DINH DUNG LE,"Libušská 319/126, 142 00 Praha 4 (budova QA22)",3. 11. 2021,Výskyt trusu hlodavců|Výrazně zanedbaný úklid
51035,Maloobchod,Thi Yen Trieu,"nám. 5. května 199, 364 64 Bečov nad Teplou",2. 11. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Velikost či uspořádání prostor pro prodej potravin neumožňuje správnou hygienickou praxi
51034,Maloobchod,VĂN BAC NGUYEN,"Oldřichov v Hájích 281, 463 31 Oldřichov v Hájích",19. 10. 2021,Nezajištěný přístup k teplé vodě - nebyla možná hygienická očista nádobí nebo náčiní přicházejícího do styku s potravinami|Nezajištěný přístup k tekoucí vodě|Nefunkčnost nebo absence toalet|Nezajištěn přístup teplé vody pro očistu rukou|Nezajištění odtoku odpadních vod
51033,Maloobchod,"JEDNOTA, spotřební družstvo v Pardubicích","Ostřešany 242, 530 02 Ostřešany",16. 10. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců
51032,Maloobchod,NGOC KHANH NGUYEN,"Masarykovo nám. 322, 33401 Přeštice",15. 10. 2021,Výskyt trusu hlodavců|Stopy po působení a výskytu hlodavců|Nezajištěn přístup teplé vody pro očistu rukou|Výrazně zanedbaný úklid|Výrazné znečištění prostor
51031,Maloobchod,THONG HOANG VAN,"Čsl. legií 138, 503 46 Třebechovice pod Orebem",15. 10. 2021,Nezajištěný přístup k teplé vodě - nebyla možná hygienická očista nádobí nebo náčiní přicházejícího do styku s potravinami|Nezajištěn přístup teplé vody pro očistu rukou
51030,Výroba,CONSI - veřejná obchodní společnost,"Smetanova 1056, 755 01 Vsetín",14. 10. 2021,Výskyt hmyzích škůdců|Nečistoty na podlaze
51029,Maloobchod,VAN DUY CAO,"Hlavní  16, 252 67 Tuchoměřice",14. 10. 2021,Výskyt trusu hlodavců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců
51028,Výroba,"Zemědělské družstvo ""Agroholding"" se sídlem v Bernarticích","Hlavní 332, 78833 Hanušovice",11. 10. 2021,Výskyt trusu hlodavců|Stopy po působení a výskytu hlodavců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Nečistoty na regálech či zařízeních
51027,Restaurace,DINH KHOAT DO,"Horní Folmava 8, 345 32 Česká Kubice",8. 10. 2021,Výskyt trusu hlodavců|Znečištěné kuchyňské nebo pracovní náčiní
51026,Maloobchod,"BILLA, spol. s r. o.","Masarykova 2051, 58001 Havlíčkův Brod",6. 10. 2021,"Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Výrazné znečištění prostor|Nečistoty na podlaze"
51025,Čerpací stanice,PROTEGO s.r.o.,"5.května 3082, 407 47 Varnsdorf",27. 9. 2021,Nezajištěný přístup k tekoucí vodě|Nezajištěn přístup teplé vody pro očistu rukou
41025,Restaurace,Hanh PHAM THI,"Libušská 126/319, 142 00 Praha (budova TP 25)",24. 9. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výrazně zanedbaný úklid|Nevhodně skladované potraviny
41023,Maloobchod,JAN TACINA,"Návsí, 739 92 Návsí",23. 9. 2021,"Výskyt trusu hlodavců|Nezajištěný přístup k tekoucí vodě|Nezajištěn přístup teplé vody pro očistu rukou|Nezajištění odtoku odpadních vod|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Nečistoty na regálech či zařízeních"
41024,Výroba,Stanislava Kufnerová,"Na Kameni 22, 55101 Jaroměř",22. 9. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plísní na stropě|Výrazně zanedbaný úklid
41022,Restaurace,DANIEL MIKESKA,"Jamnická 90, 738 01 Staré Město",20. 9. 2021,Výskyt trusu hlodavců|Nefunkčnost nebo absence toalet|Nezajištěn přístup teplé vody pro očistu rukou|Znečištěné kuchyňské nebo pracovní náčiní|Poškození stěn
41021,Maloobchod,THI HUONG LU,"1. máje 742, 357 09 Habartov",17. 9. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Poškození podlah
41020,Velkoobchod,NENIVE s.r.o.,"Šafaříkova 277, 293 01 Mladá Boleslav",16. 9. 2021,"Výskyt trusu hlodavců|Potraviny poškozené nebo kontaminované škůdci|Výskyt plísní na provozovně|Výskyt plísní na stěnách|Výskyt plesnivých potravin nebo surovin|Výrazně zanedbaný úklid|Hromadění odpadů, nezajištění odvozu potravinářského odpadu|Nečistoty na podlaze|Poškození podlah|Zápach na provozovně"
41019,Maloobchod,"T.G., a.s.","Doubrava 109, 352 01 Aš",15. 9. 2021,Výskyt trusu hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Stopy po působení a výskytu hlodavců|Výskyt plísní na stěnách|Výrazně zanedbaný úklid|Nečistoty na stěnách nebo stropě|Nečistoty na podlaze|Nečistoty na regálech či zařízeních|Poškození stěn|Riziko kontaminace potravin z důvodu nevyhovujících prostor
41018,Maloobchod,Obchod u Baudisů s.r.o.,"Náměstí míru 134, 507 43 Sobotka",10. 9. 2021,Výskyt trusu hlodavců|Výskyt mrtvých hlodavců|Provozovna nezabezpečená před pronikáním škůdců|Výrazně zanedbaný úklid|Nečistoty na podlaze|Nečistoty na regálech či zařízeních
41017,Restaurace,EVA ŠIMÁČKOVÁ,"Nebanice 10, 350 02 Nebanice",10. 9. 2021,"Výskyt trusu hlodavců|Výskyt hmyzích škůdců|Provozovna nezabezpečená před pronikáním škůdců|Potraviny poškozené nebo kontaminované škůdci|Stopy po působení a výskytu hlodavců|Výskyt plísní na výrobních zařízeních, předmětech nebo površích|Nečistoty na regálech či zařízeních|Silně znečistěná chladicí zařízení|Poškození stěn|Riziko kontaminace potravin z důvodu nevyhovujících prostor"
